id,text,true_label,pred_label,confidence,true_prob
3,"giảng bài thu hút , dí dỏm .",Positive,Negative,0.9947978,0.0036914826
6,tính điểm thi đua các nhóm .,Positive,Neutral,0.95712304,0.02177222
12,trong trường macbook thầy số hai thì không có máy nào số một .,Positive,Negative,0.9245965,0.00352239
27,cách mà cô tiếp cận với sinh viên .,Neutral,Positive,0.9433228,0.048647646
35,môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,Neutral,Positive,0.9967926,0.0015804922
45,phần lớn chỉ là lý thuyết và bài tập .,Positive,Negative,0.99409074,0.0016576484
53,như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,Neutral,Negative,0.99519795,0.0017280938
121,"ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .",Neutral,Positive,0.9976083,0.0009820439
123,cần có nhiều giảng viên như cô dạy hơn .,Positive,Negative,0.9938846,0.004127198
157,"gây mê , hay mắng và rất dễ hờn coloncontemn .",Negative,Positive,0.99733514,0.0015974338
164,hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,Negative,Positive,0.5081839,0.4613642
165,"có ba buổi học , chỉ những người tham gia buổi đầu mới biết các buổi tiếp theo .",Negative,Neutral,0.9064384,0.053071044
214,cô hoàng toàn không dùng courses hay các phương tiện liên lạc thông báo .,Positive,Negative,0.99614584,0.0025675984
247,"hay giải theo cách của mình , chưa giải thích được nhiều thắc mắc của sinh viên .",Positive,Negative,0.9952172,0.0035113203
292,kỹ những chương cuối .,Neutral,Positive,0.9967122,0.001993375
347,thầy dạy dễ hiểu tuy nhiên nhiều lúc hơi nhanh .,Negative,Positive,0.9971597,0.0019290508
355,đề kiểm tra quá dễ .,Negative,Positive,0.99510586,0.0035641135
362,cô cho em 10 điểm thực hành yêu thích .,Neutral,Positive,0.9973386,0.0017219231
364,"cô cho tài liệu học tập là một trang web , lên đó tự học và làm đồ án .",Negative,Positive,0.97351086,0.0067960974
429,thuyết trình thường xuyên .,Negative,Positive,0.99345267,0.0012838809
436,làm bài giảng sinh động .,Negative,Positive,0.99799204,0.0010815226
439,đã có làm đơn với phòng đào tạo .,Neutral,Positive,0.651497,0.33803657
443,có kết hợp với bài tập ví dụ .,Neutral,Positive,0.9977457,0.0009931963
453,bài tập đầy đủ .,Neutral,Positive,0.99794716,0.0010185061
457,bài giảng bằng tiếng anh giúp sinh viên tiếp cận ngoại ngữ tốt hơn .,Negative,Positive,0.99716175,0.001654446
458,có cung cấp tài liệu cho sinh viên .,Neutral,Positive,0.99742043,0.0015570692
481,"thầy giảng lý thuyết khá chung chung , trừu tượng , khó áp dụng kiến thức .",Negative,Positive,0.996664,0.0023874422
488,ngoài ra còn nhiều kiến thức ngoài .,Neutral,Positive,0.9976375,0.0012451805
511,có demo trực tiếp .,Neutral,Positive,0.99678314,0.0018898912
528,cách tính điểm cộng của giáo viên có điểm quá trình .,Neutral,Negative,0.9970571,0.00096755463
531,nhiều bài thuyết trình .,Neutral,Positive,0.997809,0.00098957
540,hơi nhanh nhưng em vẫn theo kịp được .,Neutral,Negative,0.9917406,0.0046824752
585,em nghĩ như vậy sẽ tốt hơn vì họ sẽ biết được khả năng của sinh viên trong lớp tới đâu để cho bài thực hành được phù hợp với trình độ của sinh viên .,Neutral,Negative,0.9934301,0.0027937186
596,dạy học theo chương trình .,Neutral,Positive,0.98982376,0.008720622
599,dạy kết hợp với các hoạt động liên quan đến bài học để sinh viên dễ dàng nắm và nhớ kiến thức hơn .,Negative,Positive,0.98963296,0.008522606
618,thân thiện và dễ tiếp thu hơn .,Negative,Positive,0.9874126,0.010369852
639,"thầy dạy tận tâm , nhưng thầy thường nói đến những phần nghiên về lập trình mạng .",Negative,Positive,0.9977798,0.0012891208
688,dạy full english .,Negative,Positive,0.9973539,0.0011791569
690,tính thực tiễn của môn học .,Neutral,Negative,0.8947482,0.019275831
699,đảm bảo cho sinh viên không ngủ gật .,Neutral,Positive,0.99780995,0.0010394576
704,nắng vào buổi sáng ở gần cửa sổ .,Negative,Neutral,0.55895025,0.009356058
726,em thấy thầy giảng hơi bị buồn ngủ .,Positive,Negative,0.99734616,0.0015388905
737,có thời gian để ngủ trên lớp .,Neutral,Positive,0.99483705,0.0027348143
746,làm sao có thể tìm thấy điểm không hài lòng được .,Positive,Negative,0.9938445,0.0023975829
753,"giảng viên truyền đạt kiến thức một cách máy móc , không có hiệu quả , tạo không gian học tập áp lực , chán nản cho sinh viên .",Positive,Negative,0.9937589,0.0047079795
769,"thầy có thái độ phân biệt , chỉ quan tâm đến một vài sinh viên .",Negative,Positive,0.9975172,0.0014972
773,cho sinh viên hiểu rõ về nội dung môn học .,Negative,Positive,0.5232607,0.46559373
774,thường xuyên điểm danh .,Negative,Positive,0.9964825,0.0019744507
776,phương pháp nộp bài của thầy là debug code quay video lấy điểm .,Neutral,Positive,0.955837,0.038389083
784,"em có đi học ở một trung tâm ngoài trường , tiền học phí so với trường mình về số tiết là gần như tương đương nhau nhưng chất lượng học rất khác nhau , em được đảm bảo giờ lên lớp đúng , thực hành nói , nghe mỗi buổi học .",Negative,Positive,0.9961022,0.0023603733
789,thầy không có dạy .,Negative,Neutral,0.9314921,0.054588806
792,đây là những ví dụ nhập môn mà các em học sinh lớp 8 - 9 khi bắt đầu được học về quy hoạch động để đi thi học sinh giỏi .,Neutral,Positive,0.78062856,0.20605128
799,giáo viên giảng dạy khá nhanh .,Negative,Positive,0.99770784,0.0014074356
806,"thầy có vẻ hơi bận rộn , gặp thầy có vẻ khó .",Neutral,Negative,0.99663526,0.0012264523
820,khả năng truyền đạt của giảng viên .,Neutral,Positive,0.98935217,0.0088793235
845,khi được đề cập thì thầy cho đó là mục tiêu cho các bạn tự tìm hiểu nhằm phát huy tốt nhất tư duy .,Neutral,Positive,0.99337125,0.0029007162
848,"giảng viên chủ động tận dụng thời gian lên lớp , sắp xếp và nêu rõ các phương pháp và cho sinh viên bài tập và tài liệu đầy đủ hơn .",Negative,Positive,0.9974432,0.0016322085
853,lớp học chỉ hơi nóng .,Negative,Neutral,0.84551984,0.13632712
854,em xin cám ơn !,Positive,Negative,0.89284754,0.005747573
858,thực hành chứa các kiến thức chưa học lý thuyết .,Negative,Positive,0.9972415,0.0014737857
861,cần có nhiều giảng viên có phương pháp dạy như thầy giảng viên .,Positive,Negative,0.9957235,0.0030801655
865,giải đáp rất mơ hồ .,Negative,Positive,0.997526,0.0014766431
867,"cô quá chất , đi dạy chỉ cần cái điện thoại .",Positive,Negative,0.99568945,0.0029707288
880,"phòng máy cũ , nhưng nhìn chung thì không có ảnh hưởng gì vì thầy dạy rất nhiệt tình .",Neutral,Positive,0.9961247,0.001210681
883,"giảng viên ít dạy từ mới , cấu trúc ngữ pháp vdotv .",Positive,Negative,0.9941531,0.0043072966
909,"nếu có môn học nào trong học kỳ tiếp theo mà thầy giảng dạy được , mong phòng đào tạo điều kiện cho thầy tiếp tục hướng dẫn lần sau .",Positive,Negative,0.9839236,0.010851436
916,mong cô ở lâu với trường .,Positive,Negative,0.9926991,0.005235461
921,hoạt động cho mỗi nhóm lên thuyết trình về chủ đề đã được giao .,Neutral,Positive,0.685547,0.26554838
931,nói dễ nghe .,Neutral,Positive,0.9979115,0.0009799517
